Seed,Reversal OOD Len,Reversal OOD Acc,Sorting OOD Len,Sorting OOD Acc
42,8.0,0.7,10,0.66
123,9.0,0.55,11,0.65
456,8.0,0.63,10,0.72
789,9.0,0.68,10,0.7
1010,9.0,0.38,11,0.7
2020,9.0,0.55,10,0.75
3030,9.0,0.71,10,0.73
4040,9.0,0.44,10,0.71
5050,9.0,0.37,9,0.73
6060,,,10,0.6
